REGION,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4
All Denmark,5475791,5482266,5489022,5505995,5511451,5515287,5519441,5532531,5534738,5540241,5543819,5557709,5560628,5564219,5566856,5579204,5580516,5584758,5587085,5599665,5602628,5605836,5608784,5623501,5627235,5634437,5639719,5655750,5659715,5668743,5678348,5699220,5707251,5717014,5724456,5745526,5748769,5756170,5760694,5778570,5781190,5785864,5789957,5806015,5806081,5811413,5814461,5827463
Region Hovedstaden,1645825,1648990,1650985,1660042,1662285,1665879,1668564,1678220,1680271,1684985,1687071,1697490,1699387,1702388,1704043,1713624,1714589,1718418,1720152,1729952,1732068,1735521,1736889,1747596,1749405,1753976,1756068,1766677,1768125,1772912,1775479,1786469,1789174,1793489,1795211,1806249,1807404,1811809,1812168,1821577,1822659,1826010,1825952,1835537,1835562,1839658,1840357,1848989
Copenhagen,509861,511725,511686,516962,518574,520659,521397,526918,528208,530902,531199,538031,539542,541559,541989,548443,549050,551580,551900,557920,559440,562253,562379,569000,569557,572376,572287,579513,580184,583349,583525,589699,591481,594231,594535,601448,602481,606057,605366,611822,613288,615993,616098,622698,623404,626350,626508,633021
Frederiksberg,93444,93848,93921,95005,95029,95429,95565,96720,96718,97368,97517,98789,98782,99237,99157,100257,100215,100814,100637,101951,102029,102306,101959,102751,102717,102682,102658,103405,103192,103732,103666,104612,104481,104538,104180,105192,105037,105002,104641,105132,104410,104553,103914,104735,103960,104226,103725,104987
Dragør,13261,13315,13350,13452,13411,13416,13460,13550,13564,13591,13661,13710,13717,13743,13741,13722,13692,13723,13807,13847,13917,13880,13883,13913,13977,13950,13951,13970,14028,13969,14051,14106,14142,14146,14206,14225,14288,14253,14263,14269,14272,14222,14201,14279,14270,14321,14394,14475
Tårnby,40016,40002,40158,40234,40214,40219,40329,40429,40383,40467,40558,40763,40835,40935,41014,41149,41151,41168,41247,41429,41572,41584,41708,41894,41992,42179,42366,42537,42573,42514,42671,42882,42860,42910,42904,43043,43010,42959,43011,43089,43063,43048,43005,43033,42984,42964,43018,43027
Albertslund,27602,27564,27596,27817,27706,27807,27739,27887,27730,27783,27685,27751,27800,27799,27715,27784,27864,27880,27834,27885,27824,27784,27722,27799,27728,27780,27721,27789,27806,27720,27647,27758,27880,27869,27792,27870,27896,27896,27816,27821,27743,27717,27753,27859,27877,27779,27750,27666
Ballerup,47116,47253,47363,47329,47398,47515,47526,47611,47652,47641,47695,47898,47930,47951,47981,48089,47994,48127,48181,48254,48211,48334,48419,48464,48514,48477,48509,48408,48355,48300,48287,48246,48224,48243,48215,48300,48231,48229,48186,48233,48295,48316,48403,48377,48458,48441,48421,48475
Brøndby,33831,33772,33716,33689,33762,33803,33821,33846,33795,33774,33856,33998,34021,33968,34026,34064,34084,34086,34106,34229,34210,34197,34309,34428,34580,34793,34886,35038,35050,35087,35197,35325,35322,35406,35410,35516,35594,35501,35528,35538,35538,35528,35511,35555,35397,35253,35104,35143
Gentofte,68913,68997,69188,69646,69794,69973,70270,70894,71052,71212,71506,71818,71714,71772,72041,72673,72814,72890,73152,73308,73360,73451,73660,74221,74282,74548,74644,74986,74932,75011,75125,75474,75350,75365,75518,75980,75805,75863,75835,75878,75803,75693,75130,75265,75176,75176,75055,75041
Gladsaxe,62562,62703,62863,63138,63233,63298,63395,63813,64102,64424,64550,64741,64951,65038,65069,65245,65303,65468,65618,65962,66030,66140,66310,66446,66656,66693,66925,67262,67347,67345,67543,67749,67914,68008,68267,68578,68775,68902,69282,69483,69484,69444,69261,69624,69681,69607,69489,69429
Glostrup,20673,20734,20834,20911,21008,21085,21156,21270,21296,21362,21365,21465,21384,21448,21532,21557,21650,21672,21757,21829,21869,21983,21987,22055,22066,22151,22243,22331,22357,22369,22384,22483,22461,22493,22475,22493,22528,22541,22523,22628,22663,22592,22557,22533,22615,22732,22891,23129
Herlev,26567,26574,26632,26653,26635,26622,26582,26575,26556,26639,26702,26650,26597,26595,26533,26597,26608,26607,26671,26898,26958,26996,27079,27405,27706,27851,27972,28062,28148,28145,28170,28360,28423,28452,28423,28408,28406,28452,28526,28546,28572,28537,28648,28625,28786,28849,29000,28966
Hvidovre,49380,49284,49269,49322,49366,49413,49428,49556,49724,49831,49851,50028,50081,50222,50297,50485,50600,50871,50960,51270,51341,51509,51609,51786,51842,52027,52047,52264,52380,52493,52538,52857,52831,52971,52918,53064,52964,53095,53074,53254,53282,53405,53480,53498,53416,53487,53529,53534
Høje-Taastrup,47158,47225,47269,47348,47400,47461,47528,47697,47664,47563,47603,47671,47753,47864,47881,48090,48081,48114,48243,48384,48471,48513,48667,48773,48807,48853,48982,49151,49230,49463,49560,49821,49960,50134,50139,50252,50246,50332,50401,50514,50596,50639,50676,50718,50686,50801,50853,50964
Ishøj,20687,20678,20665,20753,20756,20747,20778,20681,20606,20643,20759,20715,20797,20978,21013,21103,21087,21111,21110,21080,21131,21212,21267,21439,21547,21675,21761,21904,22025,22110,22193,22284,22358,22399,22536,22679,22719,22821,22906,22894,22988,22996,23011,22989,22946,22949,22988,22954
Lyngby-Taarbæk,51449,51508,51437,51794,51532,51588,51532,52071,52237,52364,52277,52781,52754,52883,52807,53140,53251,53357,53386,53761,53840,54008,53862,54279,54237,54454,54401,54776,54778,54713,54713,55091,55097,55299,55111,55396,55240,55409,55211,55757,55472,55566,55461,55850,55790,56058,56088,56483
Rødovre,36144,36163,36126,36128,36228,36267,36266,36213,36233,36240,36277,36469,36524,36569,36620,36785,36883,36920,37106,37329,37351,37310,37280,37529,37552,37540,37589,37637,37743,37753,37724,37864,38002,38093,38186,38322,38492,38556,38686,39107,39343,39491,39590,39887,40052,40213,40478,40684
Vallensbæk,12399,12710,12900,13193,13365,13508,13639,13868,14045,14162,14283,14378,14445,14444,14526,14592,14565,14603,14644,14699,14797,14839,14874,15059,15095,15103,15103,15192,15204,15203,15317,15402,15419,15484,15556,15643,15705,15727,15872,16031,16280,16447,16532,16642,16654,16649,16671,16646
Allerød,23493,23515,23650,23775,23821,23876,23943,24047,24089,24131,24169,24094,24096,24064,24105,24045,24043,24047,24058,24121,24073,24048,24082,24115,24175,24201,24250,24293,24411,24459,24551,24633,24732,24809,24828,24925,24942,25036,25161,25236,25235,25303,25427,25544,25646,25697,25729,25673
